,ISBN,Title,Author,Publishing Date,Category,Description
89,0143035002,Anna Karenina,graf Leo Tolstoy,1965,Adultery,
90,0451528611,Anna Karenina,Leo Tolstoy,2002-11-05,Fiction,"Leo Tolstoy's evocative tale of doomed love—one of the greatest novels of the nineteenth century. Anna Karenina startled the world with its powerful portrayal of the human need for love and purpose. In a story that brings to vivid life nineteenth century Russia across various social classes, Anna renounces a respectable yet stifling marriage for a passionate affair that weighs her happiness against her love for her son, her family’s status and the rigid demands of society. Her story contrasts with that of Levin, a young self-doubting agnostic who takes a different journey to fulfillment and finds faith and satisfaction in an age of repression. Considered one of the greatest novels of the nineteenth century, Anna Karenina has been called Tolstoy’s spiritual autobiography. Anna and Levin personify Tolstoy’s lifelong struggle to reconcile his physical desires and intellectual ideals in order to create a more meaningful existence. Translated by David Magarshack Includes an Introduction by Priscilla Meyer"
91,0140449175,Penguin Classics Anna Karenina,Leo Tolstoy,2002-12-31,Fiction,"'One of the greatest love stories in world literature' Vladimir Nabokov The heroine of Tolstoy's epic of love and self-destruction, Anna Karenina has beauty, wealth, popularity and an adored son, but feels that her life is empty until she encounters the impetuous officer Count Vronsky. Their subsequent affair scandalizes society and family alike, and brings jealousy and bitterness in its wake. Contrasting with this is the vividly observed story of Levin, a man striving to find contentment and a meaning to his life - and also a self-portrait of Tolstoy himself. This award-winning translation has been acclaimed as the definitive English version of Tolstoy's masterpiece. Translated by RICHARD PEVEAR and LARISSA VOLOKHONSKY with a Preface by JOHN BAYLEY"
92,0822001837,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,1965-11-26,Literary Criticism,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. CliffsNotes on Anna Karenina delves into the complex web of relationships in Tolstoy’s epic novel. As the characters unfold, this novel draws you into the lives of Karenin, Anna, and others as they struggle through the seemingly hopeless marriage patterns of urban society. Do romantic relationships make us stronger or weaker as individuals? With insights into the characters of Anna Karenina, as well as information about Tolstoy’s own life and background, this study guide will help you get the most out of this classic novel. Other features that help you study include A character list that reveals names, traits, and key relationships Summaries and commentaries on each chapter Critical essays In-depth character analyses Analysis of major themes Review questions and suggested writing topics Classic literature or modern modern-day treasure — you'll understand it all with expert information and insight from CliffsNotes study guides."
93,1593080271,Anna Karenina,graf Leo Tolstoy,2003,Fiction,Presents the classic nineteenth-century Russian novel in which a young woman is destroyed when she attempts to live outside the moral law of her society.
94,0486437965,Anna Karenina,graf Leo Tolstoy,2004,Fiction,Presents the classic nineteenth-century Russian novel in which a young woman is destroyed when she attempts to live outside the moral law of her society.
95,1593081774,Anna Karenina,Leo Tolstoy,2004-08-26,Adultery,"""Married to a powerful government minister, Anna Karenina is a beautiful woman who falls deeply in love with a wealthy army officer, the elegant Count Vronsky. Desperate to find truth and meaning in her life, she rashly defies the conventions of Russian society and leaves her husband and son to live with her lover. Condenmed and ostracized by her peers and prone to fits of jealousy, that alienate Vronsky, Anna finds herself unable to escape an increasingly hopeless situation."" -- Dust jacket."
96,0778322270,Dinner with Anna Karenina,Gloria Goldreich,2006,Book clubs (Discussion groups),"Six very different women, drawn together by their love of literature, get together each month to discuss their favourite novels, as well as to rally around each other when painful truths and dark betrayals are revealed, forcing them all to examine their own lives."
97,0521313252,Tolstoy: Anna Karenina,Anthony Thorlby,1987-11-26,Literary Criticism,A close reading of this classic novel that explores the subtle psychology in Tolstoy's characterisation.
98,0140183957,Untouchable,Mulk Anand,1940,Fiction,Explores the plight of the `Untouchables' in Hindu society in the 1930s.
99,0679767479,The Untouchable,John Banville,1998-06-30,Fiction,"WINNER OF THE LANNAN LITERARY AWARD FOR FICTION • From the Booker Prize-winning author of The Sea comes the fascinating story of a former British spy who's been unmasked as a Russian agent—and ""one of spy fiction's greatest characters"" (People). • ""Contemporary fiction gets no better than this."" —The New York Times Book Review One of the most dazzling and adventurous writers now working in English takes on the enigma of the Cambridge spies in a novel of exquisite menace, biting social comedy, and vertiginous moral complexity. The narrator is the elderly Victor Maskell, formerly of British intelligence, for many years art expert to the Queen. Now he has been unmasked as a Russian agent and subjected to a disgrace that is almost a kind of death. But at whose instigation? As Maskell retraces his tortuous path from his recruitment at Cambridge to the airless upper regions of the establishment, we discover a figure of manifold doubleness: Irishman and Englishman; husband, father, and lover of men; betrayer and dupe. Beautifully written, filled with convincing fictional portraits of Maskell's co-conspirators, and vibrant with the mysteries of loyalty and identity, The Untouchable places John Banville in the select company of both Conrad and le Carre. ""Victor Maskell is one of the great characters in recent fiction.... The Untouchable is the best work of art in any medium on [its] subject."" —Washington Post Book World ""As remarkable a literary voice as any to come out of Ireland; Joyce and Beckett notwithstanding."" —San Francisco Chronicle"
100,1568491980,The Untouchables,Eliot Ness,1957,Crime,
101,0743270797,Untouchables,Narendra Jadhav,2005-10-11,Biography & Autobiography,"Every sixth human being in the world today is an Indian, and every sixth Indian is an untouchable. For thousands of years the untouchables, or Dalits, the people at the bottom of the Hindu caste system, have been treated as subhuman. Their story has rarely been told. This remarkable book achieves something altogether unprecedented: it gives voice to India's voiceless. In Untouchables, Narendra Jadhav tells the awe-inspiring story of his family's struggle for equality and justice in India. While most Dalits had accepted their lowly position as fate, Jadhav's father rebelled against the oppressive caste system and fought against all odds to forge for his children a destiny that was never ordained. Based on his father's diaries and family stories, Jadhav has written the triumphant story of his parents -- their great love, unwavering courage, and eventual victory in the struggle to free themselves and their children from the caste system. Jadhav vividly brings his parents' world to light and unflinchingly documents the life of untouchables -- the hunger, the cruel humiliations, the perpetual fear and brutal abuse. Compelling and deeply compassionate, Untouchables is a son's tribute to his parents, an illuminating chronicle of one of the most important moments in Indian history, and an eye-opening work of nonfiction that gives readers access and insight into the lives of India's 165 million Dalits, whose struggle for equality continues even today."
102,0932863051,Dalit,V. T. Rajshekar Shetty,1987,Black people,"After Centuries of slavery, apartheid and ethnocide, the silence is broken. One hundred million Dalits in India, the twentieth century's largest, most repressed minority, cry out for the ear of the world."
103,0742508803,Growing Up Untouchable in India,Vasant Moon,2001,Social Science,"Explores growing up in the slums of central India. What makes this account uniquely Indian is the caste system, the rise of the champion of the poor, Dr. Ambedkar, and the forces of nature as in the coming of the monsoons."
